Calculation of Software Quality Metrics for system: smallsql
Duplication calculation
Method: |java+method:///smallsql/database/Command/executeImpl(smallsql.database.SSConnection,smallsql.database.SSStatement)|, loc 0, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/MutableDouble/intValue()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/DateTime/parse(java.lang.String)|, loc 108, cc: 29, cc rank: high, unit size: very high
Method: |java+method:///smallsql/junit/TestFunctions/a(java.lang.String,java.lang.Object)|, loc 5, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/junit/TestExceptionMethods/testDuplicatedColumnAlter()|, loc 14, cc: 2, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSCallableStatement/getInt(int)|, loc 8, cc: 2, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSResultSet/getSQLXML(java.lang.String)|, loc 3, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/StoreImpl/getLong(int,int)|, loc 60, cc: 33, cc rank: high, unit size: high
Method: |java+constructor:///smallsql/database/ForeignKey/ForeignKey(java.lang.String,smallsql.database.IndexDescription,java.lang.String,smallsql.database.IndexDescription)|, loc 5, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/ExpressionArithmetic/getString()|, loc 3, cc: 2, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSStatement/getGeneratedKeyIndexes()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/Command/execute(smallsql.database.SSConnection,smallsql.database.SSStatement)|, loc 10, cc: 3, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/RowSource/isLast()|, loc 3, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSStatement/execute(java.lang.String)|, loc 3, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SQLParser/function(smallsql.database.Command,smallsql.database.SQLToken,boolean)|, loc 360, cc: 85, cc rank: very high, unit size: very high
Method: |java+method:///smallsql/database/ViewResult/isBeforeFirst()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/ExpressionFunctionTimestampAdd/getFunction()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/Money/getImmutableObject()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSDatabaseMetaData/storesLowerCaseIdentifiers()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+constructor:///smallsql/database/Index/Index(boolean)|, loc 3, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSDatabaseMetaData/supportsNamedParameters()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSResultSet/getBytes(java.lang.String)|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSCallableStatement/getTime(int,java.util.Calendar)|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/ExpressionFunctionTan/getFunction()|, loc 0, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSResultSetMetaData/getSchemaName(int)|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/ExpressionFunctionBitLen/getInt()|, loc 4, cc: 2, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSStatement/executeImpl(java.lang.String)|, loc 16, cc: 5, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/TableViewResult/deleteRow()|, loc 0, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/StoreImpl/loadUpdatedStore()|, loc 6, cc: 2, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/TableView/load(smallsql.database.SSConnection,smallsql.database.Database,java.lang.String)|, loc 37, cc: 10, cc rank: simple, unit size: moderate
Method: |java+constructor:///smallsql/database/SSSavepoint/SSSavepoint(int,java.lang.String,long)|, loc 4, cc: 1, cc rank: simple, unit size: simple
